date,year,avr_temp,max_temp,min_temp,avr_rH,max_rH,min_rH,avr_dewp,max_dewp,min_dewp,avr_hPa,max_hPa,min_hPa,avr_wind_vel,avr_radiation,tot_prec
24/11/2014,2014,21.6125,24.8,19.7,0.876666667,0.95,0.69,19.42083333,20.7,18.2,929.8458333,932.1,928.1,0.8625,949.6428571,21
11/05/2015,2015,18.61666667,23.2,16.2,0.875833333,0.95,0.69,16.40833333,17.9,15.2,929.6291667,931.6,927.4,0.891666667,660.1,9.4
13/12/2016,2016,23.47916667,27.2,21.8,0.872916667,0.95,0.69,21.15416667,22.5,20.2,925.5625,927.6,923.5,0.883333333,762.8,0
10/12/2013,2013,22.775,26.2,20.4,0.870416667,0.95,0.69,20.4,22.4,18.9,927.8708333,929.9,924.8,0.85,938.8214286,1.4
15/11/2022,2022,21.85833333,25.1,19.9,0.86875,0.95,0.69,19.49583333,20.9,18.4,929.8291667,931.8,928.1,0.491666667,649.5928571,9.4
29/01/2020,2020,22.58333333,26.4,18.9,0.865,0.95,0.69,20.12916667,22.3,17.7,930.8708333,932.9,928.4,0.558333333,822.0071429,47.6
20/11/2021,2021,21.625,25.8,19.9,0.8925,0.94,0.69,19.71666667,21.2,18.5,927.3208333,928.6,925.7,0.966666667,815.2642857,24
26/12/2022,2022,20.80416667,24.6,18.9,0.877083333,0.94,0.69,18.61666667,20.7,17.6,929.8958333,931.3,927.7,0.416666667,621.0214286,31.6
31/10/2022,2022,22.14166667,25.7,20.1,0.875416667,0.94,0.69,19.90833333,21.5,17.5,927.2541667,929.3,925,0.5375,718.4642857,15.4
08/03/2014,2014,20.60416667,24.4,18.8,0.907916667,0.96,0.68,19.0125,20.1,17.7,928.6041667,930.4,926.9,0.604166667,642.7615385,12.6
30/04/2016,2016,18.40416667,23.5,14.8,0.88875,0.96,0.68,16.44166667,18.9,14.2,929.9833333,932.8,927.9,0.6875,694.25,0.6
10/01/2013,2013,21.5625,25.7,19.5,0.90625,0.95,0.68,19.89583333,21.6,18.6,928.0916667,929.6,926.4,0.4625,635.6071429,28.6
20/09/2018,2018,19.9,23.2,17,0.9,0.95,0.68,18.17916667,20.5,15.1,931.8666667,933.8,930.3,0.170833333,382.3,15.2
25/10/2020,2020,20.39583333,25.7,18.4,0.899583333,0.95,0.68,18.62083333,20.8,17.5,925.8125,928.7,922.5,0.4875,691.9307692,35.4
15/09/2018,2018,18.84166667,23.2,16.9,0.892916667,0.95,0.68,16.95416667,18.8,15.7,929,931,927,0.325,520.5333333,26.6
26/11/2014,2014,21.75416667,26.5,20.1,0.89125,0.95,0.68,19.79583333,22.2,17.8,927.1291667,928.9,925,0.783333333,931.3,54.6
07/12/2017,2017,21.45,25.8,19.8,0.89125,0.95,0.68,19.52083333,21,18.6,926.4083333,928.9,923.3,0.575,645.2142857,21.8
17/11/2015,2015,22.12916667,25.9,20.3,0.89,0.95,0.68,20.17083333,21.6,19,926.4291667,928.1,924.2,0.579166667,619.3142857,27.8
21/01/2023,2023,20.64583333,25.7,18,0.889166667,0.95,0.68,18.69583333,20.9,16.7,927.0875,929.2,924.2,0.666666667,532.28,17.8
13/02/2020,2020,21.50416667,25.6,19.1,0.877916667,0.95,0.68,19.325,21,16,929.4458333,930.9,927.7,0.466666667,955.675,26.6
19/11/2020,2020,21.89166667,26.5,19,0.871666667,0.95,0.68,19.57083333,21.4,18.2,924.7958333,926.9,922.8,0.629166667,614.1,2.2
04/12/2016,2016,21.6625,26.3,18.9,0.870416667,0.95,0.68,19.33333333,22.6,17.5,924.875,927.3,921.3,0.991666667,868.6076923,24.4
